# Directed graph (each unordered pair of nodes is saved once): smallGraph.txt
# Randomly generated graph
# Nodes: 100 Edges: 252
# FromNodeId	ToNodeId
0	5
0	32
1	7
1	66
2	3
2	47
2	51
3	2
3	8
3	21
3	23
3	35
3	52
3	76
3	78
4	36
4	47
5	0
5	19
5	73
6	25
6	27
6	68
7	1
7	17
7	55
7	76
8	3
8	9
9	8
9	89
10	11
10	63
10	69
11	10
11	24
12	22
12	72
13	24
13	42
13	87
14	48
14	75
14	94
15	38
15	50
16	34
16	79
17	7
17	49
17	70
18	26
18	30
18	69
19	5
19	33
19	64
20	26
20	43
20	88
21	3
21	53
22	12
22	38
23	3
23	71
23	77
24	11
24	13
24	73
25	6
25	67
25	81
26	18
26	20
27	6
27	66
27	91
28	79
28	95
29	57
29	60
30	18
30	85
31	80
31	85
31	96
32	0
32	42
33	19
33	43
33	46
34	16
34	46
34	56
35	3
35	82
36	4
36	54
36	56
37	55
37	84
38	15
38	22
39	70
39	81
40	69
40	93
41	61
41	74
41	86
42	13
42	32
42	83
43	20
43	33
43	84
44	51
44	74
45	55
45	65
45	86
46	33
46	34
47	2
47	4
48	14
48	59
48	72
49	17
49	96
50	15
50	57
51	2
51	44
52	3
52	96
52	97
53	21
53	68
53	93
54	36
54	63
54	77
55	7
55	37
55	45
56	34
56	36
56	87
57	29
57	50
57	58
57	67
58	57
58	61
58	91
59	48
59	71
60	29
60	64
60	78
61	41
61	58
62	86
62	99
63	10
63	54
64	19
64	60
65	45
65	98
66	1
66	27
67	25
67	57
67	75
68	6
68	53
69	10
69	18
69	40
70	17
70	39
71	23
71	59
72	12
72	48
72	80
72	82
73	5
73	24
74	41
74	44
74	92
75	14
75	67
76	3
76	7
77	23
77	54
78	3
78	60
79	16
79	28
80	31
80	72
81	25
81	39
82	35
82	72
83	42
83	89
83	92
84	37
84	43
85	30
85	31
85	94
86	41
86	45
86	62
87	13
87	56
88	20
88	90
88	97
88	99
89	9
89	83
90	88
90	95
91	27
91	58
92	74
92	83
93	40
93	53
94	14
94	85
95	28
95	90
96	31
96	49
96	52
97	52
97	88
98	65
98	99
99	62
99	88
99	98
